date,ticker,feature
2023-01-01,WMT,0.0763209760214452
2023-01-08,WMT,0.7325756145494108
2023-01-15,WMT,0.11899950038655525
2023-01-22,WMT,0.07310038381149038
2023-01-29,WMT,0.40746863976123515
2023-02-05,WMT,0.8312106201051663
2023-02-12,WMT,0.6448451383287843
2023-02-19,WMT,0.6866237674318428
2023-02-26,WMT,0.05186995084709092
2023-01-01,TGT,0.862595959779843
2023-01-08,TGT,0.6321997958873797
2023-01-15,TGT,0.8345778283852936
2023-01-22,TGT,0.02269559841431261
2023-01-29,TGT,0.03952829838131008
2023-02-05,TGT,0.9313037496008215
2023-02-12,TGT,0.8459122790750225
2023-02-19,TGT,0.04365249324600938
2023-02-26,TGT,0.5850238850799462
2023-01-01,COST,0.8339920482099659
2023-01-08,COST,0.31547266374890354
2023-01-15,COST,0.7757985902279337
2023-01-22,COST,0.0032876136698571454
2023-01-29,COST,0.014266490787080857
2023-02-05,COST,0.9578578643220013
2023-02-12,COST,0.7646702779779128
2023-02-19,COST,0.09810738653837647
2023-02-26,COST,0.4143388234481965
2023-01-01,HD,0.01851197077423929
2023-01-08,HD,0.3710726442590888
2023-01-15,HD,0.2776844249719831
2023-01-22,HD,0.0062475961843901865
2023-01-29,HD,0.044086865528605385
2023-02-05,HD,0.09193930252084315
2023-02-12,HD,0.5227942002627457
2023-02-19,HD,0.6705566687515924
2023-02-26,HD,0.4599014563695861
2023-01-01,LOW,0.6345310674947344
2023-01-08,LOW,0.0620715443463169
2023-01-15,LOW,0.05768290838606194
2023-01-22,LOW,1.390004117265053
2023-01-29,LOW,0.0
2023-02-05,LOW,0.7844228159025854
2023-02-12,LOW,0.013488092680732783
2023-02-19,LOW,0.05890782901482827
2023-02-26,LOW,0.1690746590076247
2023-01-01,BBY,0.6895840887294157
2023-01-08,BBY,0.27890468997399087
2023-01-15,BBY,0.6219008328409793
2023-01-22,BBY,0.6758543120784721
2023-01-29,BBY,0.0
2023-02-05,BBY,0.7427213271859776
2023-02-12,BBY,0.7471669500115943
2023-02-19,BBY,0.6733482638257294
2023-02-26,BBY,0.674749205364592
